--- PART 1: Cache Capacity & Levels ---
Size(KB), Latency(ns)
1, 1.45
1, 1.30
2, 1.09
3, 0.95
4, 0.88
6, 0.82
8, 0.78
12, 0.75
16, 0.73
24, 0.70
32, 0.68
48, 0.68
64, 0.68
96, 0.68
128, 0.68
192, 2.22
256, 2.93
384, 3.71
512, 4.76
768, 5.05
1024, 4.83
1536, 5.32
2048, 4.76
3072, 5.22
4096, 6.07
6144, 6.95
8192, 7.86
12288, 7.35
16384, 12.13
24576, 33.65
32768, 48.78
49152, 60.20
65536, 75.06

--- PART 2: Cache Line Size ---
Stride(Bytes), Latency(ns)
8, 0.70
16, 0.69
32, 0.93
64, 1.33
128, 1.55
256, 1.77
512, 4.86

--- PART 3: LLC Associativity ---
Ways, Latency(ns)
1, 0.25
2, 0.68
3, 1.91
4, 2.52
5, 2.15
6, 3.28
7, 3.62
8, 3.89
9, 4.92
10, 5.64
11, 6.23
12, 6.67
13, 6.55
14, 5.99
15, 6.07
16, 6.14
17, 6.23
18, 6.22
19, 6.68
20, 6.60
21, 6.44
22, 6.97
23, 8.28
24, 7.49
25, 7.47
26, 6.42
27, 6.64
28, 6.67
29, 6.45
30, 7.78
31, 7.94
32, 8.04
